TestFreq,PatchLength,PatchWidth,SlotLength,SlotWidth,Strength
3.49,35.5,26,19.5,12,-2.272906099
3.5,35.5,26,19.5,12,-2.292019719
1.5,29.4,38,22,24,-0.524195042
1.51,29.4,38,22,24,-0.518236282
1.52,29.4,38,22,24,-0.513222301
1.53,29.4,38,22,24,-0.509053008
1.54,29.4,38,22,24,-0.505636276
1.55,29.4,38,22,24,-0.502887427
1.56,29.4,38,22,24,-0.500728739
1.57,29.4,38,22,24,-0.499088946
1.58,29.4,38,22,24,-0.497902772
1.59,29.4,38,22,24,-0.497110474
1.6,29.4,38,22,24,-0.496657415
1.61,29.4,38,22,24,-0.496493659
1.62,29.4,38,22,24,-0.496573588
1.63,29.4,38,22,24,-0.496855551
1.64,29.4,38,22,24,-0.497301529
1.65,29.4,38,22,24,-0.497876835
1.66,29.4,38,22,24,-0.498549838
1.67,29.4,38,22,24,-0.499291702
1.68,29.4,38,22,24,-0.500076165
1.69,29.4,38,22,24,-0.500879338
1.7,29.4,38,22,24,-0.501679531
1.71,29.4,38,22,24,-0.502457112
1.72,29.4,38,22,24,-0.503194401
1.73,29.4,38,22,24,-0.503875605
1.74,29.4,38,22,24,-0.504486795
1.75,29.4,38,22,24,-0.505015954
1.76,29.4,38,22,24,-0.505453088
1.77,29.4,38,22,24,-0.50579044
1.78,29.4,38,22,24,-0.506022836
1.79,29.4,38,22,24,-0.50614819
1.8,29.4,38,22,24,-0.506168249
1.81,29.4,38,22,24,-0.506089628
1.82,29.4,38,22,24,-0.505925278
1.83,29.4,38,22,24,-0.505696492
1.84,29.4,38,22,24,-0.505435678
1.85,29.4,38,22,24,-0.505190118
1.86,29.4,38,22,24,-0.505027038
1.87,29.4,38,22,24,-0.505040337
1.88,29.4,38,22,24,-0.505359303
1.89,29.4,38,22,24,-0.50615951
1.9,29.4,38,22,24,-0.507675579
1.91,29.4,38,22,24,-0.510214423
1.92,29.4,38,22,24,-0.514165384
1.93,29.4,38,22,24,-0.519999982
1.94,29.4,38,22,24,-0.528248566
1.95,29.4,38,22,24,-0.539435808
1.96,29.4,38,22,24,-0.553957119
1.97,29.4,38,22,24,-0.571894408
1.98,29.4,38,22,24,-0.592812312
1.99,29.4,38,22,24,-0.615635264
2,29.4,38,22,24,-0.638730447
2.01,29.4,38,22,24,-0.6602445
2.02,29.4,38,22,24,-0.678575699
2.03,29.4,38,22,24,-0.692748981
2.04,29.4,38,22,24,-0.70252531
2.05,29.4,38,22,24,-0.708258074
2.06,29.4,38,22,24,-0.710635123
2.07,29.4,38,22,24,-0.710441784
2.08,29.4,38,22,24,-0.708407509
2.09,29.4,38,22,24,-0.705135648
2.1,29.4,38,22,24,-0.701089302
2.11,29.4,38,22,24,-0.696605808
2.12,29.4,38,22,24,-0.691921303
2.13,29.4,38,22,24,-0.687195564
2.14,29.4,38,22,24,-0.682533113
2.15,29.4,38,22,24,-0.67799965
2.16,29.4,38,22,24,-0.673634206
2.17,29.4,38,22,24,-0.669457849
2.18,29.4,38,22,24,-0.665479797
